code,title,intent
IDP-1,Life Cycle Costing,To enable effective long-term decisions about building design and construction in order to maximize efficiency over the whole life of the development.
IDP-2,Guest Worker Accommodation,To promote fair labor practices in building construction.
IDP-3,Construction Environmental Management,To reduce the environmental impacts associated with construction practices.
IDP-4,Building Envelope Verification,"To ensure the building envelope meets the design intent and minimizes building impacts from condensation, water ingress, air infiltration and improper drainage."
IDP-5,Re-Commissioning,"To ensure that the building performs as designed to protect occupant health and comfort, as well as providing for ongoing building efficiency."
IDP-6,Sustainability Communication,"To promote the efficient ongoing operation of the building by enabling occupants to appreciate, understand and therefore contribute to responsible resource use in the building."
IDP-R2,Tenant Fit-Out Design & Construction Guide,To ensure that the design and construction of interior space fit-out will contribute to the overall project’s sustainability objectives and targets.
IDP-R3,Basic Commissioning,To ensure that the building performs as designed to protect occupant health and provide comfort and ongoing building efficiency.
IP-1,Innovative Cultural & Regional Practices,"Develop designs that showcase cultural and regional practices, while contributing to the environmental performance of the building."
IP-2,Innovating Practice,To reward design and construction practices that result in a significant positive impact in relation to any of the four pillars of Estidama.
LBi-1,Ventilation Quality,To promote the provision of building systems that support the wellbeing and comfort of occupants by providing sufficient outside air ventilation.
LBi-10,Safe & Secure Environment,To provide a safe and secure environment for building occupants and visitors.
LBi-2.1,Material Emissions: Adhesives & Sealants,Confirm the use of low emission adhesives and sealants to encourage the desirability of these spaces in relation to improved occupant health.
LBi-2.2,Material Emissions: Paints & Coatings,Confirm the use of low emission Paints and Coatings to encourage the desirability of these spaces in relation to improved occupant health.
LBi-2.3,Material Emissions: Carpet & Hard Flooring,Confirm the use of low emission flooring systems to encourage the desirability of these spaces in relation to improved occupant health.
LBi-2.4,Material Emissions: Ceiling Systems,Confirm the use of low emission ceiling systems to encourage the desirability of these spaces in relation to improved occupant health.
LBi-2.5,Material Emissions: Formaldehyde Reduction,To mitigate the health risks associated with formaldehyde in building materials and products.
LBi-3,Construction Indoor Air Quality Management,To implement construction practices that promote a high degree of indoor air quality (IAQ) for construction workers and building occupants.
LBi-4,Car Park Air Quality Management,To facilitate the provision of adequate air quality within enclosed car parks.
LBi-5.1,Thermal Comfort & Controls: Thermal Zoning,"To promote logical thermal zoning strategies in relation to the on-floor ventilation system, to achieve improved occupant comfort, future flexibility and energy efficiency."
LBi-5.2,Thermal Comfort & Controls: Occupant Control,"To promote projects that provide individual comfort controls for the wellbeing, productivity and thermal comfort of occupants."
LBi-5.3,Thermal Comfort & Controls: Thermal Comfort Modeling,To promote projects that are designed to deliver optimal thermal comfort.
LBi-6,High Frequency Lighting,To promote indoor visual comfort through the use of high frequency lighting solutions.
LBi-7,Daylight & Glare,To promote building designs that maximize the use of natural daylight indoors.
LBi-8,Views,To provide building occupants with a visual connection to the outdoors.
LBi-9,Indoor Noise Pollution,Provide acoustic conditions that are commensurate with the sensitivity and/or acoustic privacy requirements of the proposed use.
LBi-R1,Healthy Ventilation Delivery,To protect the quality of air drawn into buildings for ventilation and to ensure minimum delivery of outdoor fresh air.
LBi-R2,Smoking Control,To eliminate or minimize exposure of building occupants to the harmful effects of tobacco smoke.
LBi-R3,Legionella Prevention,To manage the risk of Legionella in water based building systems.
LBo-1,Improved Outdoor Thermal Comfort,To improve outdoor thermal comfort during transition months and further reduce thermal discomfort during summer months in public spaces and walkways.
LBo-10,Light Pollution Reduction,To encourage the reduction of night time light pollution and its associated impacts on human and ecological health.
LBo-2,Pearl Rated Communities,To encourage new buildings to be built within Pearl Rated communities.
LBo-3,Accessible Community Facilities,To minimize reliance on private car use by locating buildings in areas with a mix of uses and amenities.
LBo-4,Active Urban Environments,To encourage active lifestyles by providing building occupants and users with recreational public open spaces.
LBo-5,Private Outdoor Space,To improve the occupiers quality of life by providing private outdoor space.
LBo-6,Public Transport,To encourage the use of public transport by building occupants and visitors.
LBo-7,Bicycle Facilities,"To minimize greenhouse gas emissions, improve connectivity and encourage bicycle use (particularly during the cooler winter months)."
LBo-8,Preferred Car Parking Spaces,To encourage car sharing and more fuel-efficient forms of personal transport.
LBo-9,Travel Plan,To reduce single occupancy vehicle use by managing the demand for travel and by maximizing the availability of alternatives to traveling by car.
LBo-R1,Plan 2030,"To ensure that all new development supports the vision for the Emirate of Abu Dhabi, as defined by the applicable Plan 2030, and/or Development Code, and/ or Area Plan."
LBo-R2,Urban Systems Assessment,"To ensure that, before the design process begins, a thorough understanding of the project site is developed within its urban context to better inform project programming, connectivity and built form. Requirements GENERAL Demonstrate that, before the start of the design process and site clearance, an urban systems assessment has been carried out for the project site and at the following scales: Local, Sub-regional, and Regional scale. Based on the urban systems analysis, identify opportunities and constraints associated with the development and present them in an Urban Systems Assessment Report. ADDITIONAL REQUIREMENT/CLARIFICATIONS None Requirement This is a requirement. There are no Credit Points awarded. Achievement"
LBo-R3,Outdoor Thermal Comfort Strategy,To increase outdoor thermal comfort during transition months and reduce thermal discomfort during summer months in public spaces and walkways.
NS-1,Reuse of Land,To encourage new developments to reuse land that has already been built on and infill existing urban areas rather than using undisturbed land.
NS-2,Remediation of Contaminated Land,To encourage and promote the remediation of land for building development.
NS-3,Ecological Enhancement,To enhance the ecological value of the site.
NS-4,Habitat Creation & Restoration,To restore or re-create a habitat that is self sustaining.
NS-R1,Natural Systems Assessment,"To ensure that at the commencement of the design process, the environmental baseline conditions surrounding, connected to and on the site are considered and assessed."
NS-R2,Natural Systems Protection,To protect significant and valuable Natural Systems assets identified in NS-R1 Natural Systems Assessment.
NS-R3,Natural Systems Design & Management Strategy,"To minimize demand for resources, promote soil protection and enhancement and ensure the long term survival and management of landscaped/habitat areas."
PW-1,Improved Interior Water Use Reduction,"To promote further reductions in the project’s interior potable water consumption through the use of efficient fixtures and appliances, and the use of recycled water."
PW-2.1,Exterior Water Use Reduction: Landscaping,"To minimize landscaping water demands through effective plant selection, irrigation strategies, and promoting the use of recycled water."
PW-2.2,Exterior Water Use Reduction: Heat Rejection,To reduce potable water use for heat rejection by promoting the use of recycled water and/or alternatives to water-based heat rejection.
PW-2.3,Exterior Water Use Reduction: Water Features,Reduce potable water use in exterior water features by minimizing evaporative loss and through the use of recycled water.
PW-3,Water Monitoring & Leak Detection,To encourage the provision of metering facilities that allow the water consumption of the building to be recorded and monitored to allow future improvement and understanding of the use of water in buildings.
PW-4,Stormwater Management,To minimize peak stormwater discharge and protect the stormwater drainage system and receiving water bodies from pollutant loading during and after storm events.
PW-R1,Minimum Interior Water Use Reduction,To develop and implement a comprehensive water strategy during the early stages of design as a tool to minimize the project’s interior potable water consumption.
PW-R2,Exterior Water Monitoring,To encourage the provision of metering facilities on all exterior water uses enabling effective management of outdoor water consumption and prevention of leaks.
RE-1,Improved Energy Performance,To promote further reductions in the projects energy consumption and hence carbon emissions associated with building operation.
RE-2,Cool Building Strategies,To determine the most effective solution to reducing a building’s cooling demand by incorporating passive design strategies as a priority.
RE-3,Energy Efficient Appliances,To minimise the energy consumed by common building appliances.
RE-4,Vertical Transportation,To promote projects that specify and install energy efficient vertical movement and transportation systems
RE-5,Peak Load Reduction,To reduce energy demand and consequent increased infrastructure requirements to cater for loads at peak use times through efficient building and services design and site- based renewable energy generation.
RE-6,Renewable Energy,"To reward projects for the use of renewable technologies, therefore reducing the carbon emissions associated with building operation and the reliance on fossil fuel based power generation."
RE-7,Global Warming Impacts of Refrigerants & Fire Suppression Systems,To promote the selection of refrigerants and fire suppression systems that minimise impacts on the environment.
RE-R1,Minimum Energy Performance,"To create a decision-support tool to assist the project team in making informed decisions about the options, implications and benefits of various aspects of the building design in order to achieve a minimum level of energy efficiency."
RE-R2,Energy Monitoring & Reporting,To encourage the provision of metering facilities that allow the energy performance of the building to be recorded and monitored to allow future improvement and understanding of the use of energy in buildings.
RE-R3,Ozone Impacts of Refrigerants & Fire Suppression Systems,To promote the selection of refrigerants and fire suppression systems that minimise impacts on the environment
SM-1,Non-Polluting Materials,To promote the selection of materials that do not have long-term negative impacts on human health or pollute natural systems.
SM-10,Recycled Materials,To increase the demand for recycled materials to reduce the amount of waste going to disposal.
SM-11,Rapidly Renewable Materials,To increase the use of fast growing materials as an alternative to slow growing materials and finite resources.
